DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIRCRAFT_GROUP,AIRCRAFT_TYPE,YEAR,MONTH,CLASS
0.0,0.0,0.0,0.0,0.0,205.0,0.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,RDU,"Raleigh/Durham, NC",GSP,"Greer, SC",6,888,2022,3,L
0.0,0.0,0.0,0.0,0.0,335.0,55.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,PIT,"Pittsburgh, PA",LGA,"New York, NY",6,673,2022,6,F
0.0,0.0,0.0,0.0,0.0,335.0,71.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,PIT,"Pittsburgh, PA",LGA,"New York, NY",6,673,2022,5,F
0.0,0.0,0.0,0.0,0.0,335.0,122.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,PIT,"Pittsburgh, PA",LGA,"New York, NY",6,673,2022,7,F
0.0,0.0,0.0,0.0,0.0,404.0,0.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,CLE,"Cleveland, OH",EWR,"Newark, NJ",6,622,2022,1,L
0.0,0.0,0.0,0.0,0.0,485.0,0.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,RDU,"Raleigh/Durham, NC",BMG,"Bloomington, IN",6,608,2022,11,L
0.0,0.0,0.0,0.0,0.0,489.0,0.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,IND,"Indianapolis, IN",RDU,"Raleigh/Durham, NC",6,694,2022,11,L
0.0,0.0,0.0,0.0,0.0,554.0,0.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,CLE,"Cleveland, OH",ATL,"Atlanta, GA",6,622,2022,4,L
0.0,0.0,0.0,0.0,0.0,596.0,0.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,CVG,"Cincinnati, OH",MSP,"Minneapolis, MN",6,622,2022,5,L
0.0,0.0,0.0,0.0,0.0,665.0,0.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,IND,"Indianapolis, IN",JFK,"New York, NY",6,622,2022,12,L
