PASSENGERS,FREIGHT,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,YEAR,MONTH,CLASS
0.0,0.0,0.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2020,9,L
0.0,0.0,0.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",RDU,"Raleigh/Durham, NC",RDU,"Raleigh/Durham, NC",2020,1,L
0.0,0.0,0.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,AUS,"Austin, TX",AUS,"Austin, TX",2020,7,P
0.0,0.0,0.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,AUS,"Austin, TX",AUS,"Austin, TX",2020,9,P
0.0,0.0,0.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2020,9,P
0.0,0.0,0.0,M6,Amerijet International,M6,Amerijet International,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2020,4,G
0.0,0.0,0.0,M6,Amerijet International,M6,Amerijet International,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2020,11,G
0.0,0.0,0.0,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2020,3,P
0.0,0.0,0.0,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2020,6,P
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2020,2,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2020,3,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2020,4,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2020,6,L
