PASSENGERS,FREIGHT,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,YEAR,MONTH,CLASS
1443.0,0.0,613.0,G4,Allegiant Air,G4,Allegiant Air,CVG,"Cincinnati, OH",JAX,"Jacksonville, FL",2025,10,F
1443.0,0.0,958.0,G4,Allegiant Air,G4,Allegiant Air,AUS,"Austin, TX",CVG,"Cincinnati, OH",2025,11,F
1444.0,0.0,1014.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,BNA,"Nashville, TN",DEN,"Denver, CO",2025,2,F
1444.0,16.0,680.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,RDU,"Raleigh/Durham, NC",FLL,"Fort Lauderdale, FL",2025,6,F
1445.0,0.0,462.0,G4,Allegiant Air,G4,Allegiant Air,PIT,"Pittsburgh, PA",BNA,"Nashville, TN",2025,7,F
1445.0,0.0,475.0,NK,Spirit Air Lines,NK,Spirit Air Lines,PIT,"Pittsburgh, PA",MYR,"Myrtle Beach, SC",2025,10,F
1445.0,0.0,625.0,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,RDU,"Raleigh/Durham, NC",MHT,"Manchester, NH",2025,10,F
1445.0,0.0,882.0,G4,Allegiant Air,G4,Allegiant Air,AUS,"Austin, TX",TYS,"Knoxville, TN",2025,6,F
1445.0,484.0,1405.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,AUS,"Austin, TX",RNO,"Reno, NV",2025,4,F
1446.0,0.0,667.0,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,RDU,"Raleigh/Durham, NC",RSW,"Fort Myers, FL",2025,11,F
1447.0,0.0,966.0,MX,Breeze Aviation Group DBA  Breeze,MX,Breeze Aviation Group DBA  Breeze,PIT,"Pittsburgh, PA",RSW,"Fort Myers, FL",2025,7,F
1448.0,0.0,264.0,G7,GoJet Airlines LLC d/b/a United Express,G7,GoJet Airlines LLC d/b/a United Express,CVG,"Cincinnati, OH",ORD,"Chicago, IL",2025,1,F
1448.0,0.0,430.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,CLE,"Cleveland, OH",CLT,"Charlotte, NC",2025,10,F
1448.0,0.0,694.0,G4,Allegiant Air,G4,Allegiant Air,PIT,"Pittsburgh, PA",JAX,"Jacksonville, FL",2025,3,F
