PASSENGERS,FREIGHT,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,YEAR,MONTH,CLASS
0.0,0.0,0.0,4B,Boutique Air,4B,Boutique Air,PIT,"Pittsburgh, PA",PIT,"Pittsburgh, PA",2019,12,F
0.0,0.0,0.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,AUS,"Austin, TX",AUS,"Austin, TX",2019,11,P
0.0,0.0,0.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,PIT,"Pittsburgh, PA",PIT,"Pittsburgh, PA",2019,12,L
0.0,0.0,0.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",BNA,"Nashville, TN",2019,5,L
0.0,0.0,0.0,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2019,6,P
0.0,0.0,0.0,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2019,12,P
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2019,2,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2019,3,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2019,5,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2019,6,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2019,7,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2019,8,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2019,9,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2019,10,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2019,11,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2019,12,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",TN8,"Nashville, TN",2019,4,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",TN8,"Nashville, TN",2019,6,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",TN8,"Nashville, TN",2019,11,L
0.0,0.0,54.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,CVG,"Cincinnati, OH",ILN,"Wilmington, OH",2019,10,P
0.0,0.0,64.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",TN2,"Sparta, TN",2019,7,L
0.0,0.0,66.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",RDU,"Raleigh/Durham, NC",GSO,"Greensboro/High Point, NC",2019,11,L
0.0,0.0,66.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",RDU,"Raleigh/Durham, NC",GSO,"Greensboro/High Point, NC",2019,12,L
0.0,0.0,66.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,AUS,"Austin, TX",SAT,"San Antonio, TX",2019,6,F
0.0,0.0,66.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,AUS,"Austin, TX",SAT,"San Antonio, TX",2019,8,F
0.0,0.0,66.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,AUS,"Austin, TX",SAT,"San Antonio, TX",2019,10,F
0.0,0.0,66.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,AUS,"Austin, TX",SAT,"San Antonio, TX",2019,12,F
0.0,0.0,66.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,AUS,"Austin, TX",SAT,"San Antonio, TX",2019,3,F
0.0,0.0,66.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,AUS,"Austin, TX",SAT,"San Antonio, TX",2019,8,F
0.0,0.0,70.0,GL,Miami Air International,GL,Miami Air International,PIT,"Pittsburgh, PA",CAK,"Akron, OH",2019,8,L
