DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIRCRAFT_GROUP,AIRCRAFT_TYPE,YEAR,MONTH,CLASS
15.0,14.0,2002.0,1082.0,4927.0,249.0,645.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,CVG,"Cincinnati, OH",MDW,"Chicago, IL",6,612,2020,12,F
15.0,14.0,2226.0,1834.0,1638.0,1866.0,3750.0,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,IND,"Indianapolis, IN",SEA,"Seattle, WA",6,614,2020,2,F
15.0,14.0,2450.0,86.0,4556.0,837.0,1560.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,IND,"Indianapolis, IN",TPA,"Tampa, FL",6,614,2020,4,F
15.0,14.0,2450.0,1041.0,472.0,919.0,1997.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,CMH,"Columbus, OH",DAL,"Dallas, TX",6,614,2020,3,F
15.0,14.0,2450.0,1535.0,5341.0,1771.0,3490.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,CMH,"Columbus, OH",LAS,"Las Vegas, NV",6,614,2020,12,F
15.0,14.0,2450.0,1852.0,3378.0,487.0,1178.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,CLE,"Cleveland, OH",STL,"St. Louis, MO",6,614,2020,2,F
15.0,15.0,0.0,0.0,9860.0,137.0,728.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",SBN,"South Bend, IN",4,416,2020,5,G
15.0,15.0,0.0,0.0,11960.0,137.0,762.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",SBN,"South Bend, IN",4,416,2020,1,G
15.0,15.0,0.0,0.0,22010.0,261.0,1184.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",PKB,"Parkersburg, WV",4,416,2020,10,G
15.0,15.0,0.0,0.0,51780.0,179.0,624.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",LCK,"Columbus, OH",1,110,2020,1,G
15.0,15.0,0.0,0.0,54473.0,179.0,583.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",LCK,"Columbus, OH",1,110,2020,11,G
