PASSENGERS,FREIGHT,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,YEAR,MONTH,CLASS
0.0,0.0,0.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2022,1,L
0.0,0.0,0.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2022,2,L
0.0,0.0,0.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",BNA,"Nashville, TN",BNA,"Nashville, TN",2022,12,L
0.0,0.0,0.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,AUS,"Austin, TX",AUS,"Austin, TX",2022,2,P
0.0,0.0,0.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,BNA,"Nashville, TN",BNA,"Nashville, TN",2022,2,P
0.0,0.0,0.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2022,2,P
0.0,0.0,0.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2022,3,P
0.0,0.0,0.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2022,6,P
0.0,0.0,0.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,IND,"Indianapolis, IN",IND,"Indianapolis, IN",2022,12,P
0.0,0.0,0.0,GCA,"Global Crossing Airlines, Inc.",GCA,"Global Crossing Airlines, Inc.",RDU,"Raleigh/Durham, NC",RDU,"Raleigh/Durham, NC",2022,4,L
0.0,0.0,0.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",BNA,"Nashville, TN",2022,2,L
0.0,0.0,0.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",BNA,"Nashville, TN",2022,6,L
0.0,0.0,0.0,M6,Amerijet International,M6,Amerijet International,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2022,1,G
0.0,0.0,0.0,M6,Amerijet International,M6,Amerijet International,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2022,3,G
0.0,0.0,0.0,M6,Amerijet International,M6,Amerijet International,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2022,6,G
0.0,0.0,0.0,M6,Amerijet International,M6,Amerijet International,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2022,11,G
0.0,0.0,0.0,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2022,1,P
0.0,0.0,0.0,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2022,6,P
0.0,0.0,0.0,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2022,8,P
0.0,0.0,0.0,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2022,9,P
0.0,0.0,0.0,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2022,11,P
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2022,1,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2022,2,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2022,3,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2022,4,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2022,5,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2022,7,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2022,9,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2022,11,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2022,12,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",TN8,"Nashville, TN",2022,3,L
