PASSENGERS,FREIGHT,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,YEAR,MONTH,CLASS
0.0,0.0,0.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",AUS,"Austin, TX",AUS,"Austin, TX",2023,3,L
0.0,0.0,0.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2023,8,P
0.0,0.0,0.0,GCA,"Global Crossing Airlines, Inc.",GCA,"Global Crossing Airlines, Inc.",CMH,"Columbus, OH",CMH,"Columbus, OH",2023,1,L
0.0,0.0,0.0,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2023,12,P
0.0,0.0,0.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",BNA,"Nashville, TN",2023,4,L
0.0,0.0,0.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",BNA,"Nashville, TN",2023,11,L
0.0,0.0,0.0,M6,Amerijet International,M6,Amerijet International,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2023,2,G
0.0,0.0,0.0,M6,Amerijet International,M6,Amerijet International,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2023,3,G
0.0,0.0,0.0,M6,Amerijet International,M6,Amerijet International,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2023,5,G
0.0,0.0,0.0,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2023,4,P
0.0,0.0,0.0,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,CVG,"Cincinnati, OH",CVG,"Cincinnati, OH",2023,7,P
0.0,0.0,12.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CLE,"Cleveland, OH",BKL,"Cleveland, OH",2023,9,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2023,1,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2023,3,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2023,4,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2023,5,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2023,6,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2023,7,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2023,8,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2023,9,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2023,10,L
0.0,0.0,12.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MQY,"Smyrna, TN",2023,11,L
0.0,0.0,23.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,IND,"Indianapolis, IN",MQJ,"Indianapolis, IN",2023,6,L
0.0,0.0,52.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",CMH,"Columbus, OH",SGH,"Springfield, OH",2023,6,L
0.0,0.0,54.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,CVG,"Cincinnati, OH",ILN,"Wilmington, OH",2023,3,P
0.0,0.0,54.0,8C,Air Transport International,8C,Air Transport International,CVG,"Cincinnati, OH",ILN,"Wilmington, OH",2023,12,P
0.0,0.0,64.0,KAQ,Kalitta Air LLC,KAQ,Kalitta Air LLC,DAY,"Dayton, OH",CVG,"Cincinnati, OH",2023,4,P
0.0,0.0,66.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AUS,"Austin, TX",SAT,"San Antonio, TX",2023,3,L
0.0,0.0,66.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AUS,"Austin, TX",SAT,"San Antonio, TX",2023,5,L
0.0,0.0,66.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",RDU,"Raleigh/Durham, NC",GSO,"Greensboro/High Point, NC",2023,1,L
0.0,0.0,66.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",RDU,"Raleigh/Durham, NC",GSO,"Greensboro/High Point, NC",2023,2,L
0.0,0.0,66.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",RDU,"Raleigh/Durham, NC",GSO,"Greensboro/High Point, NC",2023,5,L
0.0,0.0,66.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",RDU,"Raleigh/Durham, NC",GSO,"Greensboro/High Point, NC",2023,6,L
0.0,0.0,66.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",RDU,"Raleigh/Durham, NC",GSO,"Greensboro/High Point, NC",2023,7,L
0.0,0.0,66.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",RDU,"Raleigh/Durham, NC",GSO,"Greensboro/High Point, NC",2023,10,L
0.0,0.0,66.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,AUS,"Austin, TX",SAT,"San Antonio, TX",2023,6,F
0.0,0.0,66.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,AUS,"Austin, TX",SAT,"San Antonio, TX",2023,11,F
0.0,0.0,66.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,AUS,"Austin, TX",SAT,"San Antonio, TX",2023,12,F
0.0,0.0,70.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CVG,"Cincinnati, OH",LEX,"Lexington, KY",2023,11,L
0.0,0.0,71.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CMH,"Columbus, OH",DAY,"Dayton, OH",2023,1,L
0.0,0.0,71.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",CMH,"Columbus, OH",DAY,"Dayton, OH",2023,11,L
0.0,0.0,71.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",DAY,"Dayton, OH",CMH,"Columbus, OH",2023,11,L
0.0,0.0,71.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,DAY,"Dayton, OH",CMH,"Columbus, OH",2023,3,F
0.0,0.0,71.0,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,CMH,"Columbus, OH",DAY,"Dayton, OH",2023,3,L
0.0,0.0,82.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,PIT,"Pittsburgh, PA",CKB,"Clarksburg/Fairmont, WV",2023,3,L
0.0,0.0,84.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,CVG,"Cincinnati, OH",SDF,"Louisville, KY",2023,11,P
0.0,0.0,84.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,CVG,"Cincinnati, OH",SDF,"Louisville, KY",2023,8,F
0.0,0.0,84.0,YX,Republic Airline,YX,Republic Airline,CVG,"Cincinnati, OH",SDF,"Louisville, KY",2023,7,F
0.0,0.0,84.0,YX,Republic Airline,YX,Republic Airline,CVG,"Cincinnati, OH",SDF,"Louisville, KY",2023,9,F
0.0,0.0,95.0,YX,Republic Airline,YX,Republic Airline,CLE,"Cleveland, OH",DTW,"Detroit, MI",2023,2,F
0.0,0.0,95.0,YX,Republic Airline,YX,Republic Airline,CLE,"Cleveland, OH",DTW,"Detroit, MI",2023,3,F
0.0,0.0,99.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",IND,"Indianapolis, IN",CVG,"Cincinnati, OH",2023,7,L
0.0,0.0,99.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,CVG,"Cincinnati, OH",IND,"Indianapolis, IN",2023,1,P
0.0,0.0,99.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,CVG,"Cincinnati, OH",IND,"Indianapolis, IN",2023,5,P
0.0,0.0,99.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,IND,"Indianapolis, IN",CVG,"Cincinnati, OH",2023,5,P
0.0,0.0,99.0,GCA,"Global Crossing Airlines, Inc.",GCA,"Global Crossing Airlines, Inc.",CVG,"Cincinnati, OH",IND,"Indianapolis, IN",2023,3,L
0.0,0.0,99.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,IND,"Indianapolis, IN",CVG,"Cincinnati, OH",2023,2,F
0.0,0.0,99.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,IND,"Indianapolis, IN",CVG,"Cincinnati, OH",2023,7,F
0.0,0.0,99.0,YX,Republic Airline,YX,Republic Airline,CVG,"Cincinnati, OH",IND,"Indianapolis, IN",2023,9,F
0.0,0.0,101.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AUS,"Austin, TX",ACT,"Waco, TX",2023,2,L
0.0,0.0,102.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CMH,"Columbus, OH",LUK,"Cincinnati, OH",2023,2,L
0.0,0.0,102.0,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,RDU,"Raleigh/Durham, NC",LYH,"Lynchburg, VA",2023,12,L
0.0,0.0,103.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",HSV,"Huntsville, AL",2023,3,L
0.0,0.0,104.0,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,CLE,"Cleveland, OH",YIP,"Detroit, MI",2023,3,P
0.0,0.0,104.0,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,CLE,"Cleveland, OH",YIP,"Detroit, MI",2023,3,P
0.0,0.0,104.0,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,CLE,"Cleveland, OH",YIP,"Detroit, MI",2023,6,P
0.0,0.0,104.0,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,CLE,"Cleveland, OH",YIP,"Detroit, MI",2023,8,P
0.0,0.0,104.0,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,CLE,"Cleveland, OH",YIP,"Detroit, MI",2023,9,P
0.0,0.0,106.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,PIT,"Pittsburgh, PA",CLE,"Cleveland, OH",2023,7,F
0.0,0.0,106.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,CLE,"Cleveland, OH",PIT,"Pittsburgh, PA",2023,1,F
0.0,0.0,106.0,YX,Republic Airline,YX,Republic Airline,CLE,"Cleveland, OH",PIT,"Pittsburgh, PA",2023,9,F
0.0,0.0,107.0,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,CVG,"Cincinnati, OH",LCK,"Columbus, OH",2023,6,P
0.0,0.0,109.0,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BNA,"Nashville, TN",MSL,"Muscle Shoals, AL",2023,2,L
0.0,0.0,111.0,YX,Republic Airline,YX,Republic Airline,IND,"Indianapolis, IN",SDF,"Louisville, KY",2023,3,F
0.0,0.0,111.0,YX,Republic Airline,YX,Republic Airline,IND,"Indianapolis, IN",SDF,"Louisville, KY",2023,6,F
0.0,0.0,111.0,YX,Republic Airline,YX,Republic Airline,IND,"Indianapolis, IN",SDF,"Louisville, KY",2023,8,F
0.0,0.0,112.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,CLE,"Cleveland, OH",CMH,"Columbus, OH",2023,9,F
0.0,0.0,112.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,CLE,"Cleveland, OH",CMH,"Columbus, OH",2023,12,F
0.0,0.0,112.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,CMH,"Columbus, OH",CLE,"Cleveland, OH",2023,7,F
0.0,0.0,112.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,CMH,"Columbus, OH",CLE,"Cleveland, OH",2023,8,F
0.0,0.0,112.0,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,CMH,"Columbus, OH",CLE,"Cleveland, OH",2023,1,F
0.0,0.0,112.0,YX,Republic Airline,YX,Republic Airline,CMH,"Columbus, OH",CLE,"Cleveland, OH",2023,8,F
0.0,0.0,115.0,GCA,"Global Crossing Airlines, Inc.",GCA,"Global Crossing Airlines, Inc.",CMH,"Columbus, OH",CVG,"Cincinnati, OH",2023,2,L
0.0,0.0,115.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,CVG,"Cincinnati, OH",CMH,"Columbus, OH",2023,2,F
0.0,0.0,115.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,CVG,"Cincinnati, OH",CMH,"Columbus, OH",2023,4,F
0.0,0.0,115.0,YX,Republic Airline,YX,Republic Airline,CMH,"Columbus, OH",CVG,"Cincinnati, OH",2023,7,F
0.0,0.0,115.0,YX,Republic Airline,YX,Republic Airline,CVG,"Cincinnati, OH",CMH,"Columbus, OH",2023,7,F
0.0,0.0,115.0,YX,Republic Airline,YX,Republic Airline,CVG,"Cincinnati, OH",CMH,"Columbus, OH",2023,11,F
0.0,0.0,120.0,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",RDU,"Raleigh/Durham, NC",ROA,"Roanoke, VA",2023,3,L
0.0,0.0,120.0,YX,Republic Airline,YX,Republic Airline,RDU,"Raleigh/Durham, NC",ROA,"Roanoke, VA",2023,1,F
0.0,0.0,122.0,YX,Republic Airline,YX,Republic Airline,RDU,"Raleigh/Durham, NC",ILM,"Wilmington, NC",2023,10,F
0.0,0.0,127.0,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",AUS,"Austin, TX",DWH,"Houston, TX",2023,9,L
0.0,0.0,130.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,RDU,"Raleigh/Durham, NC",CLT,"Charlotte, NC",2023,4,F
0.0,0.0,130.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,RDU,"Raleigh/Durham, NC",CLT,"Charlotte, NC",2023,8,F
0.0,0.0,130.0,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,RDU,"Raleigh/Durham, NC",CLT,"Charlotte, NC",2023,11,L
